,z
1,0.04933928571428571
2,0.19735714285714284
3,0.3947142857142857
4,0.5920714285714286
5,0.7894285714285714
6,0.9867857142857142
7,1.184142857142857
8,1.3814999999999997
9,1.5788571428571425
10,1.7762142857142853
11,1.973571428571428
12,2.170928571428571
13,2.368285714285714
14,2.5656428571428567
15,2.7629999999999995
16,2.9603571428571422
17,3.157714285714285
18,3.355071428571428
19,3.5524285714285706
20,3.7497857142857134
21,3.947142857142856
22,4.144499999999999
23,4.341857142857142
24,4.539214285714285
25,4.736571428571429
26,4.933928571428572
27,5.131285714285715
28,5.328642857142858
29,5.476660714285716
