Inc;y;z;rx
0;0;0;0
1.00E+00;-1.28E-04;7.23E-02;3.64E-08
2.00E+00;-1.29E-04;1.34E-01;2.46E-08
3.00E+00;-9.95E-05;1.96E-01;2.45E-08
4;-1.21E-04;2.58E-01;2.84E-08
5.00E+00;-1.10E-04;3.20E-01;2.90E-08
6.00E+00;-1.01E-03;9.87E-01;1.66E-07
7.00E+00;-2.72E-03;1.65E+00;3.77E-08
8;-4.08E-03;2.32E+00;2.57E-07
9.00E+00;-2.23E-03;2.99E+00;2.48E-07
1.00E+01;-1.78E-03;3.66E+00;2.96E-07
1.10E+01;-9.44E+00;3.65E+00;3.01E-03
12;-1.83E+01;3.62E+00;5.91E-03
1.30E+01;-2.69E+01;3.57E+00;8.81E-03
1.40E+01;-3.58E+01;3.49E+00;1.17E-02
1.50E+01;-4.48E+01;3.40E+00;1.47E-02
16;-5.38E+01;3.28E+00;1.77E-02
1.70E+01;-6.27E+01;3.15E+00;2.08E-02
1.80E+01;-7.15E+01;2.99E+00;2.38E-02
1.90E+01;-8.03E+01;2.81E+00;2.69E-02
20;-8.90E+01;2.60E+00;3.01E-02
2.10E+01;-1.04E+02;2.19E+00;3.57E-02
2.20E+01;-1.20E+02;1.69E+00;4.14E-02
2.30E+01;-1.35E+02;1.15E+00;4.70E-02
24;-1.50E+02;5.32E-01;5.27E-02
2.50E+01;-1.66E+02;-1.61E-01;5.84E-02
2.60E+01;-1.81E+02;-9.24E-01;6.41E-02
2.70E+01;-1.96E+02;-1.76E+00;6.99E-02
28;-2.11E+02;-2.66E+00;7.56E-02
2.90E+01;-2.26E+02;-3.63E+00;8.14E-02
3.00E+01;-2.42E+02;-4.67E+00;8.71E-02
3.10E+01;-2.57E+02;-5.78E+00;9.29E-02
32;-2.72E+02;-6.95E+00;9.87E-02
3.30E+01;-2.86E+02;-8.19E+00;1.04E-01
3.40E+01;-3.01E+02;-9.49E+00;1.10E-01
3.50E+01;-3.16E+02;-1.09E+01;1.16E-01
36;-3.31E+02;-1.23E+01;1.22E-01
3.70E+01;-3.46E+02;-1.38E+01;1.28E-01
3.80E+01;-3.61E+02;-1.54E+01;1.33E-01
3.90E+01;-3.76E+02;-1.71E+01;1.39E-01
40;-3.91E+02;-1.88E+01;1.45E-01
4.10E+01;-4.06E+02;-2.06E+01;1.51E-01
4.20E+01;-4.21E+02;-2.25E+01;1.57E-01
4.30E+01;-4.36E+02;-2.44E+01;1.63E-01
44;-4.51E+02;-2.64E+01;1.68E-01
4.50E+01;-4.65E+02;-2.85E+01;1.74E-01
4.60E+01;-4.80E+02;-3.06E+01;1.80E-01
4.70E+01;-4.95E+02;-3.28E+01;1.86E-01
48;-5.10E+02;-3.51E+01;1.92E-01
4.90E+01;-5.25E+02;-3.74E+01;1.98E-01
5.00E+01;-5.40E+02;-3.99E+01;2.04E-01
5.10E+01;-5.54E+02;-4.23E+01;2.09E-01
52;-5.69E+02;-4.49E+01;2.15E-01
5.30E+01;-5.84E+02;-4.75E+01;2.21E-01
5.40E+01;-5.99E+02;-5.02E+01;2.27E-01
5.50E+01;-6.13E+02;-5.29E+01;2.33E-01
56;-6.28E+02;-5.57E+01;2.39E-01
5.70E+01;-6.42E+02;-5.86E+01;2.45E-01
5.80E+01;-6.57E+02;-6.15E+01;2.50E-01
5.90E+01;-6.72E+02;-6.45E+01;2.56E-01
60;-6.86E+02;-6.76E+01;2.62E-01
6.10E+01;-7.01E+02;-7.08E+01;2.68E-01
6.20E+01;-7.16E+02;-7.40E+01;2.74E-01
6.30E+01;-7.30E+02;-7.73E+01;2.80E-01
64;-7.44E+02;-8.06E+01;2.86E-01
6.50E+01;-7.59E+02;-8.40E+01;2.92E-01
6.60E+01;-7.74E+02;-8.75E+01;2.97E-01
6.70E+01;-7.88E+02;-9.11E+01;3.03E-01
68;-8.03E+02;-9.47E+01;3.09E-01
6.90E+01;-8.17E+02;-9.84E+01;3.15E-01
7.00E+01;-8.32E+02;-1.02E+02;3.21E-01
